id,name,handler,cycle,platform_net_excess_pct,five_year_local_net_pct,recent_local_net_pct,recent_minus_five_year_net_pp,five_year_local_gross_pct,recent_local_gross_pct,five_year_turnover_pct,recent_turnover_pct,five_year_rank_ic,recent_rank_ic,recent_periods,five_year_alignment_quality,five_year_local_status,recent_local_status,recent_reason
h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,impact60,10,16.443255999999998,15.337952869478096,16.97457236830738,1.636619498829285,16.696883304117524,18.321743860289633,8.987635149731668,8.909864364961976,0.06287593105023079,0.06365449650221296,15,aligned,available,available,
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-G260910-13,VERIFY10-G260910-13,impact_abs_return60,10,13.944184,10.385244844377315,14.789761408829666,4.404516564452351,11.768880734897706,16.224807335034008,9.151031021960259,9.491044485478445,0.0506970464340206,0.05303531144198366,15,aligned,available,available,
size-only-20260911-candidates.report:SIZE-ONLY-20260911,SIZE-ONLY-20260911,size_only,10,21.433287999999997,17.15927516014886,12.66144715573137,-4.497828004417489,18.44452849550366,14.0038002552307,8.500352747055596,8.877996689810383,-0.052949505168266055,-0.04530152757503176,15,aligned,available,available,
verify-field-scan-20260910-candidates.report:VERIFY-G260910-13,VERIFY-G260910-13,impact_abs_return60,5,14.700511999999998,9.731994260745457,12.660618445660543,2.928624184915085,11.359249803400719,14.301901863008878,5.38113605375417,5.4275245282683064,0.04024363687080045,0.04653852813217828,31,field_or_path_mismatch,available,available,
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-F260910-12,VERIFY10-F260910-12,book_to_market_lf_plus_impact,10,15.046176,12.863471119735731,10.181856437699762,-2.6816146820359688,14.217601276839268,11.561790759060765,8.955887282430806,9.126549744451077,0.07594592677797048,0.07178434641262327,15,aligned,available,available,
verify-field-scan-20260910-candidates.report:VERIFY-F260910-12,VERIFY-F260910-12,book_to_market_lf_plus_impact,5,15.588864000000001,12.86167083855636,9.889193010135472,-2.972477828420889,14.599175983615748,11.611787197113674,5.745718072286334,5.696409348472891,0.061548765095687775,0.055757639216074205,31,aligned,available,available,
verify-field-scan-20260910-candidates.report:VERIFY-E260910-04,VERIFY-E260910-04,book_to_market_lf_minus_size,5,17.75808,15.113853781097376,9.49790068128741,-5.615953099809966,17.16204724697638,11.540157110204076,6.773126540605172,6.753493481867285,0.06543712667934017,0.05560111461562852,31,aligned,available,available,
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-E260910-04,VERIFY10-E260910-04,book_to_market_lf_minus_size,10,16.74068,14.543919396134426,9.249506223473007,-5.294413172661418,15.994100929868225,10.678024240267234,9.591147709879632,9.44787048144331,0.07912269589485625,0.06841379856751269,15,aligned,available,available,
alphaprobe-net1-platform-20260914-candidates.report:F-NET01-PLAT-20260914,F-NET01-PLAT-20260914,wma_low_volume40,5,13.628703999999999,11.010429467407956,8.748270305928791,-2.2621591614791647,12.96786520879728,10.500145437482008,6.473001790308608,5.793237868892912,0.06736745570868094,0.05406083816135249,31,field_or_path_mismatch,available,available,
alphaprobe-gfn-new-20260916-candidates.report:F-GFN-N02-20260916,F-GFN-N02-20260916,book_to_market_lf_div_oper_main_profit_ttm,5,12.274464,9.1541003642926,7.616002366953914,-1.538097997338685,10.345765837910612,8.916041881293598,3.9406927037632697,4.299072468054511,0.03468203847607194,0.031561677517317935,31,aligned,available,available,
osr4-ret40-value-refine-candidates.report:OSR4-RET40-BP-CFP-VAL3,OSR4-RET40-BP-CFP-VAL3,reversal_bm_cfp_val3,5,3.30728,1.834995517602344,7.438114284154784,5.60311876655244,5.387878494404736,10.93663175256935,11.748951642865055,11.569171522534939,0.04549803102288089,0.035904730721303235,31,field_or_path_mismatch,available,available,
