id,name,formula,handler,direction,cycle,platform_five_year_net_pct,five_year_local_net_pct,five_year_local_gross_pct,five_year_turnover_pct,five_year_rank_ic,five_year_periods,five_year_period_coverage,five_year_alignment_quality,five_year_fidelity,five_year_turnover_alignment,five_year_top20_overlap,five_year_status,five_year_reason,recent_2026_local_net_pct,recent_2026_local_gross_pct,recent_2026_turnover_pct,recent_2026_rank_ic,recent_2026_periods,recent_2026_start,recent_2026_end,recent_2026_status,recent_2026_reason,june_2026_local_net_pct,june_2026_local_gross_pct,june_2026_turnover_pct,june_2026_rank_ic,june_2026_periods,june_2026_start,june_2026_end,june_2026_status,june_2026_reason
verify-field-scan-cycle10-20260910-candidates.report:VERIFY10-E260910-04,VERIFY10-E260910-04,RANK(book_to_market_ratio_lf) - RANK(MARKET_CAP),book_to_market_lf_minus_size,1,10,16.74068,14.543919396134426,15.994100929868225,9.591147709879632,0.07912346976835577,120,1.0,aligned,PIT proxy: book_to_market_ratio_lf mapped to latest announced equity / market cap,comparable,18,available,,9.249506223473007,10.678024240267234,9.44787048144331,0.06841379856751269,15,2026-01-09,2026-08-10,available,,52.037935361107536,53.51461381235352,9.766391873319968,0.16312017908998863,5,2026-06-12,2026-08-10,available,
combo-direct-4factor-size-2026-ytd-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",reversal_chip_turn_size_eq,1,10,10.726920000000002,3.799455595096162,8.776465901563107,32.91673483113059,0.07603271346503082,16,1.0,field_or_path_mismatch,direct local market-data reconstruction,comparable,2,available,,3.799455595096162,8.776465901563107,32.91673483113059,0.07603271346503082,16,2026-01-05,2026-08-18,available,,49.59292600000376,54.64294588071946,33.39960238568588,0.2015232880217284,6,2026-06-08,2026-08-18,available,
t10-more-additions-20260911-candidates.report:T10-ADD-FSCORE-20260911,T10-ADD-FSCORE-20260911,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK((IF(oper_roa_net_ttm > 0,1,0) + IF(cfd_ocf_to_debt_ttm > 0,1,0) + IF(oper_roa_net_ttm > oper_roa_net_lyr,1,0) + IF(cfd_surplus_cash_multi_ttm > 1,1,0) + IF(fin_debt_to_asset_ttm < fin_debt_to_asset_lyr,1,0) + IF(fin_current_ratio_ttm > fin_current_ratio_lyr,1,0) + IF(oper_gross_margin_ttm > oper_gross_margin_lyr,1,0) + IF(oper_total_asset_turnover_ttm > oper_total_asset_turnover_lyr,1,0)) / 8)) / 6",t10_size_plus_impact_fscore,1,10,17.476064,13.716943590284144,18.516923867814008,31.74590130641444,0.11133937650267675,120,1.0,field_or_path_mismatch,Tushare PIT financial proxy; consolidated statements and reconstructed TTM,comparable,6,available,,5.887094364963907,10.413987424170386,29.939768910095765,0.07820270568292509,15,2026-01-09,2026-08-10,available,,49.063918035551346,53.19835496945227,27.344159615746822,0.19733994061675444,5,2026-06-12,2026-08-10,available,
t10-more-additions-20260911-candidates.report:T10-ADD-DOWNSIDE-IMPACT-20260911,T10-ADD-DOWNSIDE-IMPACT-20260911,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(SUM((ABS(CLOSE / DELAY(CLOSE,1) - 1) - (CLOSE / DELAY(CLOSE,1) - 1)) / 2,60) / (SUM(AMOUNT,60) + 1))) / 6",t10_size_plus_impact_downside,1,10,19.39004,14.588924802940173,18.704871800341195,27.221871675932686,0.10697143800671521,120,1.0,aligned,market proxy: cached high/low/amount when present; otherwise open/close range and volume*average-price proxies,comparable,19,available,,6.596644534966094,10.50989096672897,25.88125946933119,0.07344593848316763,15,2026-01-09,2026-08-10,available,,48.096693471614266,51.74120795839874,24.103931790902596,0.18471976925789513,5,2026-06-12,2026-08-10,available,
size-only-20260911-candidates.report:SIZE-ONLY-20260911,SIZE-ONLY-20260911,RANK(MARKET_CAP),size_only,0,10,21.433287999999997,17.15927516014886,18.44452849550366,8.500352747055596,-0.052949505168266055,120,1.0,aligned,direct local market-cap rank from Tushare daily_basic total_mv,comparable,19,available,,12.66144715573137,14.0038002552307,8.877996689810383,-0.04530152757503176,15,2026-01-09,2026-08-10,available,,47.59441494683804,48.89093150074188,8.574844933226435,-0.12599919898605477,5,2026-06-12,2026-08-10,available,
t10-newdirections-20260911-candidates.report:T10-SIZE-PLUS-IMPACT,T10-SIZE-PLUS-IMPACT,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))) / 5",t10_size_plus_impact,1,10,18.157232,13.70077442643553,18.312759261910305,30.5025452081665,0.1090781490067123,120,1.0,aligned,market proxy: cached high/low/amount when present; otherwise open/close range and volume*average-price proxies,comparable,18,available,,3.8118856622843533,8.127487311421834,28.54233894932196,0.07098239868944965,15,2026-01-09,2026-08-10,available,,47.10093248569919,51.15135764391325,26.78852617866443,0.18842944837497036,5,2026-06-12,2026-08-10,available,
t10-more-additions-20260911-candidates.report:T10-ADD-AGG-IMPACT-20260911,T10-ADD-AGG-IMPACT-20260911,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1),60) / (SUM(AMOUNT,60) + 1))) / 6",t10_size_plus_impact_aggregate,1,10,19.759592,15.004717910363752,19.059255690759404,26.81572606081782,0.10629908192713336,120,1.0,aligned,market proxy: cached high/low/amount when present; otherwise open/close range and volume*average-price proxies,comparable,19,available,,6.503013429794559,10.326021021608671,25.284441744802326,0.07267321267483214,15,2026-01-09,2026-08-10,available,,47.05222482934328,50.523896136163714,22.960789066272703,0.18209533613149706,5,2026-06-12,2026-08-10,available,
t10-additions-20260911-candidates.report:T10-ADD-BM-20260911,T10-ADD-BM-20260911,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(book_to_market_ratio_lf)) / 6",t10_size_plus_impact_bm,1,10,18.092280000000002,13.850826932010227,18.331221347708706,29.632238199064027,0.11595597033123875,120,1.0,aligned,market proxy: cached high/low/amount when present; otherwise open/close range and volume*average-price proxies,comparable,19,available,,4.6144085887705115,8.903341183834,28.365956316557465,0.07912241569197523,15,2026-01-09,2026-08-10,available,,46.92846061104052,50.94714135526046,26.578576350660978,0.19953425909681646,5,2026-06-12,2026-08-10,available,
t10-newdirections-20260911-candidates.report:T10-SIZE-PLUS-IMPACT-WC,T10-SIZE-PLUS-IMPACT-WC,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK((CURRENT_ASSETS-INVENTORY-CURRENT_LIABILITIES)/(ABS(MARKET_CAP)+1))) / 6",t10_size_plus_impact_wc,1,10,17.443168,13.883405245046356,18.388531812098798,29.79581062865372,0.11581318277457177,120,1.0,field_or_path_mismatch,market proxy: cached high/low/amount when present; otherwise open/close range and volume*average-price proxies,comparable,10,available,,5.581315241257815,9.620677376538788,26.715358037572578,0.0704890390353585,15,2026-01-09,2026-08-10,available,,46.91355816743589,50.72167171721292,25.18593617577404,0.18652481932755416,5,2026-06-12,2026-08-10,available,
osr2-ret40-turn-bias-paper-2026-ytd-candidates.report:OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD,OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 3",reversal_turn_paper,1,10,7.699328,7.267762530756988,12.889096268690686,37.178133187392184,0.08602636521596703,16,1.0,field_or_path_mismatch,Tushare PIT financial proxy; consolidated statements and reconstructed TTM,comparable,0,available,,7.267762530756988,12.889096268690686,37.178133187392184,0.08602407427149539,16,2026-01-05,2026-08-18,available,,46.84502563304006,52.41331863504407,36.82733466933868,0.20018861284697934,6,2026-06-08,2026-08-18,available,
